2024-09-30 21-53-57 INFO  BaseClass:110 - Testing on: edge
2024-09-30 21-53-59 INFO  BaseClass:122 - Open URL: https://www.douglas.de/de
2024-09-30 21-54-01 INFO  BaseClass:154 - Page title is: Online-Parfümerie ?? Parfum & Kosmetik kaufen | DOUGLAS
2024-09-30 21-54-01 INFO  TestProductFilters:31 - Correct website homepage is loaded: Online-Parfümerie ?? Parfum & Kosmetik kaufen | DOUGLAS
2024-09-30 21-54-02 INFO  BaseClass:169 - Privacy concent popup is visible
2024-09-30 21-54-02 INFO  BaseClass:169 - Privacy concent popup Allow all button is visible
2024-09-30 21-54-02 INFO  BaseClass:249 - Clicked Allow all button
2024-09-30 21-54-02 INFO  BaseClass:169 - Parfum navigation link is visible
2024-09-30 21-54-03 INFO  BaseClass:249 - Clicked Parfum navigation link
2024-09-30 21-54-06 INFO  BaseClass:169 - Product overview headline is visible
2024-09-30 21-54-06 INFO  BaseClass:288 - Product overview headline is : PARFÜM & DÜFTE
2024-09-30 21-54-07 INFO  BaseClass:169 - Product filter facet list is visible
2024-09-30 21-54-07 INFO  BaseClass:169 - Product listing is visible
2024-09-30 21-54-07 INFO  BaseClass:305 - Page scrolled till Product overview headline
2024-09-30 21-54-07 INFO  BaseClass:169 - Product filter highlights is visible
2024-09-30 21-54-07 INFO  BaseClass:249 - Clicked Product filter highlights
2024-09-30 21-54-08 INFO  ExcelReadWrite:43 - Excel data: Sale
2024-09-30 21-54-08 INFO  BaseClass:169 - Product filter highlights Sale is visible
2024-09-30 21-54-08 INFO  BaseClass:249 - Clicked Product filter highlights Sale
2024-09-30 21-54-11 INFO  BaseClass:169 - Selected facet is visible
2024-09-30 21-54-11 INFO  BaseClass:288 - Selected facet name is : Sale
2024-09-30 21-54-22 INFO  ParfumPageObjects:181 - Count of filtered products: 48
2024-09-30 21-54-23 INFO  BaseClass:169 - Filtered product listing is visible
2024-09-30 21-54-23 INFO  ParfumPageObjects:199 - Count of facet discount eyecatcher: 48
2024-09-30 21-54-23 INFO  BaseClass:169 - Facet on product eyecatcher is visible
2024-09-30 21-54-23 INFO  BaseClass:288 - Facet on product eyecatcher is : SALE
2024-09-30 21-54-23 INFO  BaseClass:169 - Facet on product eyecatcher is visible
2024-09-30 21-54-23 INFO  BaseClass:288 - Facet on product eyecatcher is : SALE
